venue_id,place_id,name,category,area,city,level_entry_access,sloped_access,accessible_toilet,wheelchair_space,accessible_parking,notes,source_type,source_name,confidence_level_entry,confidence_sloped_access,confidence_toilet,confidence_space,confidence_parking,address,rating,user_ratings_total,business_status
1,ChIJZ1C6--8bdkgRsDL5_Nb3ZME,LUMI Camden,cafe,82 Camden High St,london,unknown,unknown,unknown,unknown,no,Imported from Google Places API (New),api,Google Places (New),low,low,low,low,medium,"82 Camden High St, London NW1 0LT, UK",4.8,2395,OPERATIONAL
2,ChIJ3e_BlNIEdkgRj04OuJPtobs,Cafe Boheme,restaurant,13 Old Compton St,london,yes,unknown,unknown,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,low,medium,medium,"13 Old Compton St, London W1D 5JQ, UK",4.3,2267,OPERATIONAL
3,ChIJO1CCV9MEdkgRuX8baR_vkeA,L'ETO Soho,cafe,155 Wardour St,london,yes,unknown,unknown,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,low,medium,medium,"155 Wardour St, London W1F 8WG, UK",4.5,11087,OPERATIONAL
4,ChIJDYaquFQbdkgRCTlaW38xowQ,Blacklist Lounge London,cafe,9 Camden High St,london,unknown,unknown,unknown,unknown,unknown,Imported from Google Places API (New),api,Google Places (New),low,low,low,low,low,"9 Camden High St, London NW1 7JE, UK",4.5,685,OPERATIONAL
5,ChIJ_UZdjtsEdkgRcHnYGRr8sw0,St James's Café,cafe,Horse Guards Rd,london,yes,unknown,yes,yes,unknown,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,low,"Horse Guards Rd, London SW1A 2BJ, UK",4.0,3747,OPERATIONAL
6,ChIJ9TEki7obdkgRxH3iJZNZUek,Victoria House Coffee & Food,cafe,5 Coptic St,london,yes,unknown,unknown,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,low,medium,medium,"5 Coptic St, London WC1A 1NH, UK",4.8,6629,OPERATIONAL
7,ChIJtXePX5kbdkgRkSTC1tyoZiI,Qima Café and Pâtisserie - Fitzrovia,cafe,21 Warren St,london,unknown,unknown,unknown,unknown,no,Imported from Google Places API (New),api,Google Places (New),low,low,low,low,medium,"21 Warren St, London W1T 5LT, UK",4.6,1345,OPERATIONAL
8,ChIJI4805ysbdkgRfZMHHR3YA5M,Double J's Cafe,cafe,333 Euston Rd.,london,yes,unknown,unknown,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,low,medium,medium,"333 Euston Rd., London NW1 3AD, UK",4.9,1966,OPERATIONAL
9,ChIJozPwgIYbdkgRcqdpuGl-0qk,ARVO Cafe - Primrose Hill,cafe,57 Regent's Park Rd,london,no,unknown,no,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"57 Regent's Park Rd, London NW1 8XD, UK",4.8,472,OPERATIONAL
10,ChIJjSKnuM0adkgRA725Gi-2JFk,The Monocle Café,cafe,18 Chiltern St,london,unknown,unknown,unknown,yes,no,Imported from Google Places API (New),api,Google Places (New),low,low,low,medium,medium,"18 Chiltern St, London W1U 7QA, UK",4.4,2129,OPERATIONAL
11,ChIJNc-tXDMbdkgRK71JU82ZU38,Drury Covent Garden | Cafe & Brunch,cafe,188-189 Drury Ln,london,yes,unknown,unknown,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,low,medium,medium,"188-189 Drury Ln, London WC2B 5QD, UK",4.8,3749,OPERATIONAL
12,ChIJ_XJOLvYFdkgR1oW-M-c4fvk,Chill House Coffee Shop,cafe,10 Shepherd St,london,yes,unknown,no,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"10 Shepherd St, London W1J 7JE, UK",4.8,456,OPERATIONAL
